meter_id,customer_id,unit_type,construction_year,energy_label
575,1081,single_family_house,1984,C
576,617,single_family_house,1980,""
577,92,single_family_house,2018,A
578,1647,single_family_house,1962,""
579,2602,terraced_house,2014,A
580,1097,unclear,,""
581,1840,single_family_house,2011,""
582,2474,single_family_house,1950,""
583,647,single_family_house,1850,C
584,1360,single_family_house,1976,""
585,954,terraced_house,1920,""
586,1194,single_family_house,1962,E
587,2896,single_family_house,2016,A
588,660,single_family_house,2014,A
589,1685,single_family_house,2016,A
590,1076,single_family_house,1961,""
591,2494,terraced_house,1962,D
592,2066,single_family_house,1959,""
593,2607,apartment,1907,D
594,2016,single_family_house,1935,D
595,1560,single_family_house,1972,C
596,3024,single_family_house,1960,""
597,2488,single_family_house,1974,D
598,110,single_family_house,1915,E
599,72,terraced_house,1972,""
600,1455,single_family_house,1984,""
601,1968,terraced_house,2012,D
602,3104,terraced_house,1983,B
603,1866,single_family_house,1965,""
604,344,single_family_house,1954,""
605,2008,single_family_house,1966,D
606,422,single_family_house,2017,A
607,1486,single_family_house,1920,""
608,1151,single_family_house,1938,C
609,39,single_family_house,1994,""
610,1608,single_family_house,1975,""
611,2885,terraced_house,1983,""
612,2150,single_family_house,1975,""
613,640,single_family_house,1969,""
614,632,single_family_house,1924,""
615,2606,single_family_house,1969,""
616,2709,single_family_house,1934,D
617,1208,terraced_house,2013,A
618,1850,single_family_house,1959,""
619,2024,terraced_house,1960,""
620,321,terraced_house,1972,""
621,763,single_family_house,1910,C
622,794,single_family_house,1967,D
623,1555,single_family_house,1850,""
624,1838,single_family_house,1977,""
625,488,single_family_house,1972,""
626,1453,single_family_house,1950,""
627,1552,terraced_house,2018,A
628,2112,single_family_house,2015,A
629,2898,single_family_house,2005,""
630,1230,single_family_house,1900,""
631,1989,single_family_house,1965,""
632,1646,single_family_house,1922,""
633,1472,single_family_house,1975,""
634,939,single_family_house,1950,E
635,330,single_family_house,1982,""
636,109,single_family_house,1900,E
637,1638,terraced_house,1983,""
638,2207,terraced_house,1951,D
639,431,unclear,,""
640,728,unclear,,""
641,1206,terraced_house,1983,""
642,413,terraced_house,1987,""
643,2905,terraced_house,1972,""
644,2912,single_family_house,1963,E
645,2247,single_family_house,1972,D
646,305,terraced_house,2016,A
647,574,single_family_house,1856,""
648,905,single_family_house,1970,""
649,2812,terraced_house,2000,B
650,151,single_family_house,1919,""
651,2849,single_family_house,2014,""
652,2421,single_family_house,1975,D
653,2200,single_family_house,1963,""
654,230,single_family_house,1975,""
655,2206,apartment,2003,""
656,293,single_family_house,1998,""
657,2401,single_family_house,1946,""
658,326,single_family_house,1923,""
659,3022,single_family_house,1928,C
660,772,single_family_house,1969,E
661,415,single_family_house,1980,""
662,862,single_family_house,1947,D
663,675,unclear,,D
664,294,apartment,2003,""
665,2951,single_family_house,2014,A
666,1906,single_family_house,1906,""
667,919,terraced_house,1972,B
668,261,terraced_house,1972,B
669,253,single_family_house,1965,D
670,1936,terraced_house,1972,B
671,871,single_family_house,2014,A
672,1583,single_family_house,1938,E
673,747,single_family_house,1960,""
674,550,single_family_house,1908,""
675,741,apartment,2003,""
676,1911,single_family_house,1904,""
677,3101,single_family_house,1958,""
678,106,terraced_house,1989,C
679,1854,single_family_house,1958,""
680,2519,single_family_house,1963,""
